CODE,PP1,PP2,PP3,PP4,PQ1,PQ2,PQ3,PQ4,CE1,CE2,CE3,CE4,CE5,CE6,Sex,Age,Child,Edu,Income,WTP,Consumption,PERDEN,X1,X2,X3
120,4,5,5,4,4,4,2,3,3,2,2,2,3,2,0,23,0.0,1,0,3.00,1.00,1,4.50,3.75,4.00
121,3,2,3,3,4,3,3,3,2,1,1,1,1,4,0,22,1.0,1,0,2.00,1.00,0,2.75,1.00,3.25
122,4,2,3,4,3,3,4,3,4,4,4,3,3,4,0,50,1.0,0,0,3.00,2.00,1,3.25,3.25,4.00
123,4,3,3,4,5,5,5,5,5,5,5,5,5,5,0,19,0.0,1,0,3.00,1.00,1,3.50,3.00,3.75
124,3,2,2,2,3,4,4,4,2,3,3,3,2,3,0,21,1.0,1,0,1.00,1.00,0,2.25,2.75,1.00
125,2,3,3,3,3,3,2,3,2,3,2,2,3,3,1,22,1.0,0,0,2.00,2.00,0,2.75,4.50,3.25
126,4,3,3,3,3,3,3,3,2,4,3,3,3,3,1,22,0.0,1,1,1.00,1.00,0,3.25,4.25,3.00
127,3,2,3,3,3,4,2,2,3,2,3,3,3,3,0,23,1.0,0,0,2.00,3.00,0,2.75,4.50,2.75
128,3,3,2,3,2,3,2,3,2,2,2,2,2,3,0,22,1.0,0,0,1.00,0.00,0,2.75,2.00,4.50
129,4,3,3,3,3,4,4,4,3,4,3,2,3,3,1,23,1.0,0,0,2.00,0.00,0,3.25,3.75,4.25
130,3,3,3,3,3,2,2,2,1,1,2,2,2,2,1,17,0.0,1,1,3.00,1.00,1,3.00,3.50,4.50
131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,25,1.0,1,0,2.00,2.00,0,4.00,2.75,2.00
132,3,3,3,2,3,3,3,3,2,3,2,2,2,4,0,21,1.0,0,1,1.00,0.00,0,2.75,4.25,3.75
133,3,2,3,2,3,4,2,3,2,2,3,2,2,3,0,25,0.0,1,0,4.00,2.00,1,2.50,3.75,3.50
134,2,3,2,3,2,2,3,3,1,1,3,2,2,3,0,21,1.0,1,0,3.00,1.00,1,2.50,3.75,2.75
135,3,2,3,2,3,3,3,3,2,2,3,2,2,4,1,28,1.0,0,0,1.00,3.00,0,2.50,2.75,4.25
136,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,22,0.0,0,0,3.00,1.00,1,3.00,2.50,3.75
137,3,3,3,4,4,3,1,3,4,4,3,2,1,4,1,21,1.0,0,1,1.00,0.00,0,3.25,3.25,3.75
138,4,2,3,3,3,2,3,3,4,4,3,2,3,3,1,27,0.0,0,1,2.00,1.00,0,3.00,3.25,2.75
139,1,3,4,3,2,2,2,2,3,3,3,3,3,3,0,18,1.0,0,0,0.00,0.00,0,2.75,3.25,2.50
140,3,2,4,4,4,3,4,4,2,3,4,4,2,3,0,21,1.0,1,0,5.00,2.00,1,3.25,5.00,3.25
141,3,3,2,2,2,2,2,2,2,4,2,2,3,3,0,19,1.0,1,0,5.00,1.00,1,2.50,3.75,3.25
142,3,3,3,2,3,3,3,3,2,2,2,2,2,2,0,25,1.0,0,0,1.00,0.00,0,2.75,2.75,3.25
143,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,23,0.0,1,0,3.00,1.00,1,3.25,3.00,5.00
144,4,3,4,2,3,3,2,3,2,2,2,2,2,2,1,27,1.0,1,0,2.00,1.00,0,3.25,2.75,3.75
145,4,4,4,1,3,3,3,3,2,2,2,2,2,2,0,22,1.0,1,1,2.00,3.00,0,3.25,2.50,2.75
146,3,3,4,3,4,2,4,2,2,2,4,2,2,4,0,22,0.0,1,0,2.00,3.00,0,3.25,3.75,3.00
147,1,3,4,4,4,4,4,5,2,2,2,2,2,2,0,23,1.0,0,1,1.00,1.00,0,3.00,2.25,2.75
148,4,4,4,3,4,3,3,3,3,4,3,3,3,4,1,22,0.0,1,0,1.00,0.00,0,3.75,4.00,2.50
149,3,3,3,2,3,3,3,3,2,3,3,2,2,4,1,23,0.0,0,1,1.00,2.00,0,2.75,3.00,3.75
150,3,3,3,2,3,3,2,3,2,3,3,4,4,5,1,27,0.0,0,0,1.00,0.00,0,2.75,3.00,2.25
151,4,4,3,4,2,3,3,4,4,4,3,3,3,4,0,37,1.0,1,0,0.00,1.00,0,3.75,2.50,4.00
152,3,3,2,2,4,3,4,3,2,2,4,5,3,4,1,28,1.0,1,1,3.00,3.00,1,2.50,3.00,3.00
153,4,3,3,4,4,5,3,4,2,4,3,4,4,5,0,21,1.0,0,1,5.00,1.00,1,3.50,3.00,3.00
154,4,3,3,4,4,4,5,4,2,3,2,1,1,3,1,35,0.0,0,0,2.00,1.00,0,3.50,2.75,2.50
155,3,2,3,2,3,4,5,3,1,4,3,1,2,2,1,30,1.0,1,0,2.00,1.00,0,2.50,2.75,3.00
156,4,5,5,5,3,2,3,3,2,2,4,3,2,2,0,25,1.0,1,0,1.00,2.00,0,4.75,2.00,3.00
157,3,2,4,3,4,3,4,5,3,4,4,3,2,4,1,40,1.0,0,1,0.00,2.00,0,3.00,3.75,2.75
158,3,3,4,2,4,4,3,3,1,2,2,2,2,3,0,35,0.0,1,0,2.00,0.00,0,3.00,2.00,2.75
159,3,4,3,4,5,4,4,4,3,4,2,4,4,5,1,23,1.0,1,0,2.00,0.00,0,3.50,3.00,2.00
160,4,3,4,4,3,3,4,4,3,3,4,4,4,3,1,32,1.0,0,0,3.00,0.00,1,3.75,3.00,3.75
161,3,3,4,2,2,4,3,4,5,4,4,3,4,4,0,35,0.0,1,0,2.00,0.00,0,3.00,2.75,2.00
162,3,3,4,2,3,3,3,2,4,4,4,5,4,5,1,24,1.0,1,0,3.00,3.00,1,3.00,3.00,3.00
163,4,3,4,3,5,3,4,4,3,4,2,3,3,4,0,30,0.0,0,0,2.00,1.00,0,3.50,3.00,3.00
164,3,3,3,4,2,4,4,4,2,2,3,4,3,5,0,25,1.0,0,0,2.00,1.00,0,3.25,4.25,2.75
165,4,3,4,3,4,3,4,4,3,3,4,4,4,3,1,28,0.0,1,0,2.00,1.00,0,3.50,3.25,3.00
166,4,3,4,3,2,3,4,2,3,2,2,2,3,3,1,44,1.0,0,1,2.00,0.00,0,3.50,3.00,3.00
167,4,4,4,3,3,3,3,3,2,1,2,2,2,2,1,35,1.0,0,1,2.00,3.00,0,3.75,2.75,4.25
168,3,2,3,3,4,4,2,3,2,2,2,2,2,3,0,28,1.0,1,0,5.00,0.00,1,2.75,3.00,3.25
169,4,3,3,2,2,3,3,3,1,1,2,2,3,2,1,35,0.0,1,0,3.00,1.00,1,3.00,3.50,3.00
170,2,3,3,2,4,4,3,3,2,3,3,3,2,2,1,37,1.0,1,0,2.00,2.00,0,2.50,4.00,2.75
171,3,4,4,3,3,3,3,3,2,2,4,4,4,4,1,37,1.0,1,1,2.00,3.00,0,3.50,4.25,3.00
172,4,3,5,4,4,3,3,4,2,4,3,3,2,1,1,33,1.0,1,0,3.00,2.00,1,4.00,3.75,3.50
173,2,3,3,3,2,3,2,3,2,2,2,3,4,4,1,45,0.0,0,0,0.00,0.00,0,2.75,2.75,4.00
174,3,2,2,2,3,4,3,4,5,5,5,5,5,2,1,34,1.0,1,0,5.00,3.00,1,2.25,4.00,4.25
175,4,4,4,3,3,3,3,2,5,2,3,3,3,3,1,45,1.0,1,1,5.00,0.00,1,3.75,3.50,3.75
176,1,1,1,3,2,2,2,1,3,2,1,1,3,3,1,26,0.0,1,1,2.00,0.00,0,1.50,4.25,2.75
177,4,3,3,5,3,4,3,3,3,3,5,5,5,3,1,34,1.0,1,0,0.00,2.00,0,3.75,3.50,4.00
178,3,3,4,4,3,3,3,4,2,2,2,2,2,2,1,34,1.0,1,0,2.00,2.00,0,3.50,3.25,3.50
179,4,3,4,3,4,4,4,4,3,3,3,3,3,3,0,27,0.0,1,1,2.00,1.00,0,3.50,2.75,4.25
180,3,2,3,4,3,4,4,3,1,3,5,5,4,5,0,28,1.0,0,0,1.00,3.00,0,3.00,4.00,3.50
181,4,2,4,2,2,2,4,2,4,2,2,2,2,4,1,30,0.0,1,0,2.00,2.00,0,3.00,3.50,3.25
182,3,3,2,3,3,3,2,3,3,3,2,3,3,3,1,35,1.0,0,0,2.00,3.00,0,2.75,3.75,2.75
183,3,2,3,4,3,3,4,4,3,2,3,3,3,2,1,30,0.0,1,0,5.00,3.00,1,3.00,2.75,4.00
184,4,3,4,3,3,3,3,3,2,2,2,2,2,2,1,30,0.0,1,1,2.00,1.00,0,3.50,3.00,3.50
185,4,4,4,3,3,4,3,3,3,3,2,3,3,3,1,22,0.0,0,0,2.00,1.00,0,3.75,3.25,3.75
186,4,4,4,4,3,4,4,4,2,2,2,2,2,3,1,21,0.0,0,0,1.00,1.00,0,4.00,2.75,2.75
187,4,3,5,3,3,4,3,4,3,3,1,4,4,5,0,28,1.0,0,0,3.00,1.00,1,3.75,3.50,3.00
188,3,4,5,3,3,2,3,3,2,1,1,4,4,5,0,26,0.0,0,0,2.00,0.00,0,3.75,3.00,3.25
189,3,2,3,2,2,3,4,2,2,3,2,3,3,2,1,30,0.0,1,1,1.00,0.00,0,2.50,3.50,2.75
190,3,5,5,4,3,4,4,2,4,2,1,4,4,5,0,34,1.0,1,0,5.00,3.00,1,4.25,2.50,3.50
191,3,2,3,2,4,2,3,4,4,4,4,4,5,5,1,22,1.0,1,0,1.00,1.00,0,2.50,2.50,3.00
192,5,3,4,3,4,3,4,4,3,2,2,2,3,5,1,23,1.0,1,1,3.00,2.00,1,3.75,3.75,2.75
193,3,3,2,1,3,3,2,3,4,2,2,3,3,2,0,20,1.0,1,0,5.00,3.00,1,2.25,2.25,4.50
194,3,2,3,3,4,3,4,3,4,3,3,2,3,4,0,29,1.0,1,0,3.00,3.00,1,2.75,2.75,3.50
195,3,3,2,3,3,3,4,3,2,1,1,1,2,1,1,22,0.0,1,0,3.00,1.00,1,2.75,3.00,4.00
196,5,3,4,2,4,3,3,4,4,3,3,3,3,4,0,24,1.0,1,0,3.00,2.00,1,3.50,3.75,2.50
197,5,3,4,3,4,3,4,4,3,2,2,2,3,5,1,23,1.0,1,1,3.00,2.00,1,3.75,3.75,2.75
198,3,3,2,1,3,3,2,3,4,2,2,3,3,2,0,20,1.0,1,0,5.00,3.00,1,2.25,2.25,4.50
199,3,2,3,3,4,3,4,3,4,3,3,2,3,4,0,29,1.0,1,0,3.00,3.00,1,2.75,2.75,3.50
200,3,3,2,3,3,3,4,3,2,1,1,1,2,1,1,22,0.0,1,0,3.00,1.00,1,2.75,3.00,4.00
201,5,3,4,2,4,3,3,4,4,3,3,3,3,4,0,24,1.0,1,0,3.00,2.00,1,3.50,3.75,2.50
202,2,2,4,2,2,2,2,4,2,2,2,2,4,2,1,32,0.0,1,1,2.00,0.00,0,2.50,2.50,2.50
203,3,3,5,3,2,3,4,1,3,4,4,2,3,4,0,25,0.0,1,0,4.00,3.00,1,3.50,3.50,2.50
204,5,3,5,5,4,3,5,4,5,5,5,5,5,5,0,22,1.0,1,0,5.00,2.00,1,4.50,4.50,2.50
205,3,3,4,4,4,3,3,3,3,4,3,3,3,5,0,45,1.0,0,0,2.00,1.00,0,3.50,3.50,2.50
206,3,3,3,4,3,2,3,4,3,4,3,3,3,4,1,27,1.0,1,1,5.00,0.00,1,3.25,3.25,3.75
207,4,4,4,3,4,2,2,3,3,4,4,2,2,3,1,28,0.0,0,0,2.00,0.00,0,3.75,3.75,3.00
208,4,3,4,4,4,3,3,3,3,2,2,2,4,4,0,28,1.0,0,0,4.00,1.00,1,3.75,3.75,3.50
209,2,2,3,3,2,2,3,2,1,1,2,2,2,3,0,23,1.0,1,1,0.00,0.00,0,2.50,2.50,4.50
210,4,4,4,4,4,4,4,3,3,2,3,4,3,5,1,22,0.0,0,0,1.00,0.00,0,4.00,4.00,3.50
211,4,4,4,4,4,4,4,3,4,4,4,4,4,4,1,24,1.0,0,1,3.00,2.00,1,4.00,4.00,3.25
212,4,3,4,2,4,4,3,3,2,2,3,4,4,5,1,32,0.0,0,0,0.00,1.00,0,3.25,3.25,3.75
213,5,3,5,4,4,2,3,3,4,3,3,3,3,4,0,29,1.0,0,1,1.00,0.00,0,4.25,4.25,3.75
214,4,4,4,4,4,4,4,3,3,5,4,1,3,4,0,26,1.0,1,0,5.00,2.00,1,4.00,4.00,2.50
215,2,3,3,2,3,3,2,3,1,2,1,3,3,3,1,19,0.0,1,0,0.00,2.00,0,2.50,2.50,4.00
216,4,3,4,4,4,4,4,2,3,3,2,2,2,4,0,23,0.0,0,1,1.00,1.00,1,3.75,3.75,4.00
217,3,4,4,3,4,4,5,4,4,4,4,4,4,4,1,26,1.0,1,0,1.00,1.00,1,3.50,3.50,3.25
218,3,3,3,4,3,3,4,3,4,3,3,2,3,4,1,32,1.0,1,0,0.00,3.00,1,3.25,3.25,4.25
219,4,3,4,3,3,3,3,3,4,3,3,2,3,3,1,25,1.0,0,0,0.00,1.00,1,3.50,3.50,4.00
220,4,3,3,4,3,3,3,4,3,3,3,2,4,4,0,25,0.0,0,0,1.00,0.00,0,3.50,3.50,2.50
221,3,3,3,3,4,4,4,4,4,2,4,2,2,4,1,26,1.0,1,0,3.00,0.00,1,3.00,3.00,3.75
222,2,3,4,2,2,2,2,2,3,2,3,2,2,1,0,26,0.0,1,1,2.00,1.00,0,2.75,2.75,3.50
223,5,4,4,5,5,4,5,5,2,4,4,2,4,4,1,25,0.0,1,0,3.00,1.00,1,4.50,4.50,3.25
224,3,3,4,4,4,3,4,4,3,3,3,2,2,3,1,21,1.0,1,0,0.00,3.00,0,3.50,3.50,3.50
225,4,3,5,4,4,3,3,3,5,3,5,4,3,4,0,21,1.0,1,0,4.00,1.00,1,4.00,4.00,3.50
226,3,2,3,2,4,2,3,4,4,4,4,4,5,5,1,22,1.0,1,0,1.00,1.00,0,2.50,2.50,3.00
227,5,3,4,3,4,3,4,4,3,2,2,2,3,5,1,23,1.0,1,1,3.00,2.00,1,3.75,3.75,2.75
228,3,3,2,1,3,3,2,3,4,2,2,3,3,2,0,20,1.0,1,0,5.00,3.00,1,2.25,2.25,4.50
229,3,2,3,3,4,3,4,3,4,3,3,2,3,4,0,29,1.0,1,0,3.00,3.00,1,2.75,2.75,3.50
230,3,3,2,3,3,3,4,3,2,1,1,1,2,1,1,22,0.0,1,0,3.00,1.00,1,2.75,3.00,4.00
231,5,3,4,2,4,3,3,4,4,3,3,3,3,4,0,24,1.0,1,0,3.00,2.00,1,3.50,3.75,2.50
232,3,3,4,5,1,2,2,2,5,2,4,4,4,4,0,23,0.0,0,1,2.00,3.00,0,3.75,2.75,3.75
233,2,3,3,2,3,3,2,2,1,1,1,1,1,2,0,22,1.0,1,0,3.00,2.00,1,2.50,3.50,2.25
234,3,2,3,3,2,2,3,3,1,1,1,1,1,1,1,21,0.0,1,0,5.00,3.00,1,2.75,4.25,2.75
235,3,2,2,2,3,3,3,3,2,2,1,1,1,1,1,21,1.0,1,0,5.00,2.00,1,2.25,3.25,3.00
236,3,3,3,2,2,3,2,3,3,3,3,3,3,2,0,22,0.0,1,1,1.00,1.00,0,2.75,3.00,3.75
237,3,3,3,4,3,2,3,4,4,3,4,4,2,4,0,25,1.0,1,0,0.00,3.00,1,3.25,3.25,2.75
238,3,3,3,3,3,3,4,3,4,3,3,3,3,4,1,25,1.0,1,0,4.00,2.00,1,3.00,4.00,3.50
239,3,3,2,1,3,3,2,3,4,2,2,3,3,2,0,20,1.0,1,0,5.00,3.00,1,2.25,2.25,4.50
240,3,2,3,3,4,3,4,3,4,3,3,2,3,4,0,29,1.0,1,0,3.00,3.00,1,2.75,2.75,3.50
